ErrorCode,ErrorText
468797," ISO : Too many packets without EoT flag TCP : Operation not supported on Socket"
468798," ISO : Too many packets without EoT flag TCP : Protocol family not supported"
468799," ISO : Too many packets without EoT flag TCP : Address family not supported"
468800," ISO : Too many packets without EoT flag TCP : Address already in use"
468801," ISO : Too many packets without EoT flag TCP : Can't assign requested address"
468802," ISO : Too many packets without EoT flag TCP : Network is down"
468803," ISO : Too many packets without EoT flag TCP : Network is unreachable"
468804," ISO : Too many packets without EoT flag TCP : Network dropped connection on reset"
468805," ISO : Too many packets without EoT flag TCP : Software caused connection abort"
468806," ISO : Too many packets without EoT flag TCP : Connection reset by peer"
468807," ISO : Too many packets without EoT flag TCP : No Buffer space available"
468808," ISO : Too many packets without EoT flag TCP : Socket is already connected"
468809," ISO : Too many packets without EoT flag TCP : Socket is not connected"
468810," ISO : Too many packets without EoT flag TCP : Can't send after Socket shutdown"
468811," ISO : Too many packets without EoT flag TCP : Too many references:can't splice"
468812," ISO : Too many packets without EoT flag TCP : Connection timed out"
468813," ISO : Too many packets without EoT flag TCP : Connection refused"
468814," ISO : Too many packets without EoT flag TCP : Too many levels of symbolic links"
468815," ISO : Too many packets without EoT flag TCP : File name is too long"
468816," ISO : Too many packets without EoT flag TCP : Host is down"
468817," ISO : Too many packets without EoT flag TCP : Unreachable peer"
468818," ISO : Too many packets without EoT flag TCP : Directory is not empty"
468819," ISO : Too many packets without EoT flag TCP : Too many processes"
468820," ISO : Too many packets without EoT flag TCP : Too many users"
468821," ISO : Too many packets without EoT flag TCP : Disk quota exceeded"
468822," ISO : Too many packets without EoT flag TCP : Stale NFS file handle"
468823," ISO : Too many packets without EoT flag TCP : Too many levels of remote in path"
468843," ISO : Too many packets without EoT flag TCP : Network subsystem is unusable"
468844," ISO : Too many packets without EoT flag TCP : Winsock DLL cannot support this application"
468845," ISO : Too many packets without EoT flag TCP : Winsock not initialized"
468853," ISO : Too many packets without EoT flag TCP : Disconnect"
469753," ISO : Too many packets without EoT flag TCP : Host not found"
469754," ISO : Too many packets without EoT flag TCP : Non authoritative - host not found"
469755," ISO : Too many packets without EoT flag TCP : Non recoverable error"
469756," ISO : Too many packets without EoT flag TCP : Valid name, no data record of requested type"
470753," ISO : Too many packets without EoT flag TCP : Invalid address"
524288," ISO : The sum of fragments data exceded maximum packet size"
534292," ISO : The sum of fragments data exceded maximum packet size TCP : Interrupted system call"
534297," ISO : The sum of fragments data exceded maximum packet size TCP : Bad file number"
534301," ISO : The sum of fragments data exceded maximum packet size TCP : Permission denied"
534302," ISO : The sum of fragments data exceded maximum packet size TCP : Bad address"
534310," ISO : The sum of fragments data exceded maximum packet size TCP : Invalid argument"
534312," ISO : The sum of fragments data exceded maximum packet size TCP : Too many open files"
534323," ISO : The sum of fragments data exceded maximum packet size TCP : Operation would block"
534324," ISO : The sum of fragments data exceded maximum packet size TCP : Operation now in progress"
534325," ISO : The sum of fragments data exceded maximum packet size TCP : Operation already in progress"
534326," ISO : The sum of fragments data exceded maximum packet size TCP : Socket operation on non socket"
534327," ISO : The sum of fragments data exceded maximum packet size TCP : Destination address required"
534328," ISO : The sum of fragments data exceded maximum packet size TCP : Message too long"
534329," ISO : The sum of fragments data exceded maximum packet size TCP : Protocol wrong type for Socket"
534330," ISO : The sum of fragments data exceded maximum packet size TCP : Protocol not available"
534331," ISO : The sum of fragments data exceded maximum packet size TCP : Protocol not supported"
534332," ISO : The sum of fragments data exceded maximum packet size TCP : Socket not supported"
534333," ISO : The sum of fragments data exceded maximum packet size TCP : Operation not supported on Socket"
534334," ISO : The sum of fragments data exceded maximum packet size TCP : Protocol family not supported"
534335," ISO : The sum of fragments data exceded maximum packet size TCP : Address family not supported"
534336," ISO : The sum of fragments data exceded maximum packet size TCP : Address already in use"
534337," ISO : The sum of fragments data exceded maximum packet size TCP : Can't assign requested address"
534338," ISO : The sum of fragments data exceded maximum packet size TCP : Network is down"
534339," ISO : The sum of fragments data exceded maximum packet size TCP : Network is unreachable"
534340," ISO : The sum of fragments data exceded maximum packet size TCP : Network dropped connection on reset"
534341," ISO : The sum of fragments data exceded maximum packet size TCP : Software caused connection abort"
534342," ISO : The sum of fragments data exceded maximum packet size TCP : Connection reset by peer"
534343," ISO : The sum of fragments data exceded maximum packet size TCP : No Buffer space available"
534344," ISO : The sum of fragments data exceded maximum packet size TCP : Socket is already connected"
534345," ISO : The sum of fragments data exceded maximum packet size TCP : Socket is not connected"
534346," ISO : The sum of fragments data exceded maximum packet size TCP : Can't send after Socket shutdown"
534347," ISO : The sum of fragments data exceded maximum packet size TCP : Too many references:can't splice"
534348," ISO : The sum of fragments data exceded maximum packet size TCP : Connection timed out"
534349," ISO : The sum of fragments data exceded maximum packet size TCP : Connection refused"
534350," ISO : The sum of fragments data exceded maximum packet size TCP : Too many levels of symbolic links"
534351," ISO : The sum of fragments data exceded maximum packet size TCP : File name is too long"
534352," ISO : The sum of fragments data exceded maximum packet size TCP : Host is down"
534353," ISO : The sum of fragments data exceded maximum packet size TCP : Unreachable peer"
534354," ISO : The sum of fragments data exceded maximum packet size TCP : Directory is not empty"
534355," ISO : The sum of fragments data exceded maximum packet size TCP : Too many processes"
534356," ISO : The sum of fragments data exceded maximum packet size TCP : Too many users"
534357," ISO : The sum of fragments data exceded maximum packet size TCP : Disk quota exceeded"
534358," ISO : The sum of fragments data exceded maximum packet size TCP : Stale NFS file handle"
534359," ISO : The sum of fragments data exceded maximum packet size TCP : Too many levels of remote in path"
534379," ISO : The sum of fragments data exceded maximum packet size TCP : Network subsystem is unusable"
534380," ISO : The sum of fragments data exceded maximum packet size TCP : Winsock DLL cannot support this application"
534381," ISO : The sum of fragments data exceded maximum packet size TCP : Winsock not initialized"
534389," ISO : The sum of fragments data exceded maximum packet size TCP : Disconnect"
535289," ISO : The sum of fragments data exceded maximum packet size TCP : Host not found"
535290," ISO : The sum of fragments data exceded maximum packet size TCP : Non authoritative - host not found"
535291," ISO : The sum of fragments data exceded maximum packet size TCP : Non recoverable error"
535292," ISO : The sum of fragments data exceded maximum packet size TCP : Valid name, no data record of requested type"
536289," ISO : The sum of fragments data exceded maximum packet size TCP : Invalid address"
589824," ISO : An error occurred during send"
599828," ISO : An error occurred during send TCP : Interrupted system call"
599833," ISO : An error occurred during send TCP : Bad file number"
599837," ISO : An error occurred during send TCP : Permission denied"
599838," ISO : An error occurred during send TCP : Bad address"
599846," ISO : An error occurred during send TCP : Invalid argument"
599848," ISO : An error occurred during send TCP : Too many open files"
599859," ISO : An error occurred during send TCP : Operation would block"
599860," ISO : An error occurred during send TCP : Operation now in progress"
599861," ISO : An error occurred during send TCP : Operation already in progress"
599862," ISO : An error occurred during send TCP : Socket operation on non socket"
599863," ISO : An error occurred during send TCP : Destination address required"
599864," ISO : An error occurred during send TCP : Message too long"
599865," ISO : An error occurred during send TCP : Protocol wrong type for Socket"
599866," ISO : An error occurred during send TCP : Protocol not available"
599867," ISO : An error occurred during send TCP : Protocol not supported"
599868," ISO : An error occurred during send TCP : Socket not supported"
599869," ISO : An error occurred during send TCP : Operation not supported on Socket"
599870," ISO : An error occurred during send TCP : Protocol family not supported"
599871," ISO : An error occurred during send TCP : Address family not supported"
599872," ISO : An error occurred during send TCP : Address already in use"
599873," ISO : An error occurred during send TCP : Can't assign requested address"
599874," ISO : An error occurred during send TCP : Network is down"
